doy,temp_max_clim,temp_min_clim,dtr_clim,dtr_clearsky,et0_clim,p_wet_clim,amount_clim,outflow_clim
1,18.932042444448832,13.065148578034382,5.8668938664144585,9.89133989523923,,0.2881693427975944,11.882560504261313,483601.4121899155
2,18.8632879955402,12.980265700417489,5.883022295122721,9.907468323947493,,0.2894152622013445,11.881118199536726,487600.006591943
3,18.798399714098156,12.898411890345361,5.8999878237528085,9.924433852577579,,0.2905615648075972,11.876005831815016,491561.9659964969
4,18.737389502056583,12.819623360096742,5.917766141959854,9.942212170784625,,0.29160808201823935,11.867264511411312,495482.98229853413
5,18.680266745315198,12.743933332391075,5.936333412924138,9.96077944174891,,0.2925547552755704,11.854941296533845,499358.6986370521
6,18.62703834769498,12.671372006953096,5.955666340741892,9.980112369566664,,0.29340163478344117,11.839089097342006,503184.7175322962
7,18.57770876727976,12.60196653287518,5.975742234404592,10.000188263229363,,0.2941488780380229,11.81976656569079,506956.6092085852
8,18.532280055017118,12.535740986832963,5.996539068184168,10.02098509700894,,0.29479674817319684,11.797037970802744,510669.9200835182
9,18.490751895448973,12.472716357195777,6.018035538253204,10.042481567077976,,0.29534561212595706,11.770973061145773,514320.181403824
10,18.453121649440437,12.412910534059286,6.040211115381161,10.064657144205933,,0.29579593862760545,11.74164691283131,517902.91800765606
11,18.41938439877356,12.35633830521332,6.063046093560252,10.087492122385024,,0.2961482960268848,11.709139764882986,521413.65719273366
12,18.389532992471196,12.303011358043776,6.086521634427433,10.110967663252204,,0.2964033499515507,11.673536841760484,524847.9376693768
13,18.36355809471526,12.252938287353036,6.110619807362235,10.135065836187007,,0.2965618608152138,11.634928163557142,528201.3185771824
14,18.341448234223,12.206124609069194,6.135323625153818,10.15976965397859,,0.2966246811766018,11.593408344322324,531469.3885438443
15,18.32318985494455,12.162572779800186,6.160617075144377,10.185063103969147,,0.29659275295868465,11.549076378991321,534647.7747644299
16,18.308767367945144,12.122282222174867,6.186485145770291,10.210931174595062,,0.2964671045353816,11.502035419435671,537732.1520792858
